code,name,details,priceCJ,pricePZ,imageUrl,offers
LE1286,NIDO KINDER1+ PROTE.DHA 144G,12 / 144 GR,$378.58,$31.55,https://i.postimg.cc/KzwM8fbz/LE1286.jpg,OFERTA
LE1052,NUTRI RINDES 120,12 / 120 GR,$179.36,$14.95,https://i.postimg.cc/nrXX8DQJ/LE1052.jpg,OFERTA
LI1075,FLASH NUBES DE ALGODÓN,12 / 828 ML,$169.44,$14.12,https://i.postimg.cc/0Nj19Dcg/LI1075.jpg,OFERTA
LI1091,PINYL FLORAL DESINFECTANTE,12 / 1 LT,$161.43,$13.45,https://i.postimg.cc/mk7TmSyJ/LI1091.jpg,OFERTA
LI1090,PINYL LAVANDA DESINFECTANTE,12 / 1 LT,$161.43,$13.45,https://i.postimg.cc/1tk90dwD/LI1090.jpg,OFERTA
LI0850,POETT CAJA MIXTA 900M,12 / 900 ML,$208.46,$17.37,https://i.postimg.cc/zBgnW60W/LI0850.jpg,OFERTA
LI1077,POETT FLORES DE PRIMAVERA 30% MAS,12 / 1.18 LT,$208.46,$17.37,https://i.postimg.cc/rsRkKNHz/LI1077.jpg,OFERTA
LI0169,POETT MANZ. CANELA 900ML,12 / 900 ML,$208.46,$17.37,https://i.postimg.cc/VsgxphYm/LI0169.jpg,OFERTA
LI2819,POETT SUAVIDAD ALGODO,12 / 900 ML,$208.46,$17.37,https://i.postimg.cc/Fzc5MrGR/LI2819.jpg,OFERTA
ME0134,CLEMENTE JACQUES FRESA,24 / 270 GR,$488.90,$20.37,https://i.postimg.cc/Pqdyz1NL/ME0134.jpg,OFERTA
ME0145,MCCORMICK MER/FRESA,12 / 165 GR,$218.63,$18.22,https://i.postimg.cc/MTQFTsB3/ME0145.jpg,OFERTA
MO0305,DOÑA MARIA MOLE ROJO125G,24 / 125 GR,$548.63,$22.86,https://i.postimg.cc/P57ywWTg/MO0305.jpg,OFERTA
MO0323,DOÑA MARIA MOLE ROJO235G,24 / 235 GR,$957.64,$39.90,https://i.postimg.cc/QdCSC4Gg/MO0323.jpg,OFERTA
MY0509,MAY. M.C.ENSAL. 3.8K,4 / 3.8 LT,$783.22,$195.81,https://i.postimg.cc/90NRnB8V/MY0509.jpg,OFERTA
MY0383,MAY. M.C.ENSAL. N.4 110G,24 / 110 GR,$316.42,$13.18,https://i.postimg.cc/FKjSH3Rg/MY0383.jpg,OFERTA
